" Продажи по группам (с ассортиментом)" ;" " ;" " ;" " ;" " ;" " ;" " ;" " 
" Группа товара" ;" id_goods" ;" Наименование" ;" Розница" ;" " ;" Опт" ;" " ;" Всего" 
" " ;" " ;" " ;" Единиц" ;" Гривен" ;" Единиц" ;" Гривен" ;" Гривен" 
" Итого" ;" " ;" " ;" 4 048" ;" 186 670,70" ;" 868" ;" 415 422,00" ;" 602 092,70" 
" Вино игристое" ;" 1" ;" “KRIMART” бел.коллек. брют ZERO (туб)                 " ;" 1" ;" 261,00" ;" " ;" " ;" 261,00" 
" Вино игристое" ;" 2" ;" “KRIMART” бел.выдер.мускат. брют(туб)                " ;" 4" ;" 1 044,00" ;" " ;" " ;" 1 044,00" 
" Вино игристое" ;" 3" ;" “KRIMART” бел. коллек. экстра брют(туб)" ;" " ;" " ;" 1" ;" 867,00" ;" 867,00" 
" Вино игристое" ;" 4" ;" “KRIMART” розовое выд. брют(туб)" ;" 1" ;" 150,00" ;" 5" ;" 4 335,00" ;" 4 485,00" 
" Вино игристое" ;" 6" ;" “КРИМ” белое брют коллекционное " ;" 8" ;" 696,00" ;" 48" ;" 23 376,00" ;" 24 072,00" 
" Вино игристое" ;" 7" ;" “КРИМ” белое коллекционное полусухое" ;" 4" ;" 338,40" ;" 47" ;" 22 231,00" ;" 22 569,40" 
" Вино игристое" ;" 8" ;" “КРИМ” красное выдержанное полусладкое" ;" 6" ;" 633,60" ;" 34" ;" 20 060,00" ;" 20 693,60" 
" Вино игристое" ;" 9" ;" “АРТЕМIВСЬКЕ” белое выдержанное полусладкое" ;" 5" ;" 395,00" ;" 189" ;" 81 648,00" ;" 82 043,00" 
" Вино игристое" ;" 10" ;" “АРТЕМIВСЬКЕ” белое выдержанное  брют" ;" 8" ;" 660,00" ;" 14" ;" 6 454,00" ;" 7 114,00" 
" Вино игристое" ;" 11" ;" “АРТЕМIВСЬКЕ” красное выдержанное полусладкое " ;" 23" ;" 2 014,80" ;" 55" ;" 27 610,00" ;" 29 624,80" 
" Вино игристое" ;" 12" ;" “АРТЕМIВСЬКЕ” мускатное выдержанное полусухое" ;" 8" ;" 703,20" ;" 17" ;" 8 551,00" ;" 9 254,20" 
